,min,max,range
hip_right,75.88579372592763,126.15774182228533,50.271948096357704
knee_right,62.86939025203127,170.93071624115683,108.06132598912555
ankle_right,11.758063091820528,68.40908347532208,56.651020383501546
hip_left,11.775496191633922,34.96914275376123,23.193646562127313
knee_left,97.74261305660107,165.8089576845685,68.06634462796742
ankle_left,94.22100246758475,164.2308172479381,70.00981478035334
