,mean_accel
pelvis,0.0032121683
hip_r,0.0031567167
knee_r,0.0041354513
ankle_r,0.0040603057
foot_r,0.0032811603
hip_l,0.004672458
knee_l,0.0031673757
ankle_l,0.0032628288
foot_l,0.0034089703
spine,0.0035242643
