hip_right,knee_right,ankle_right,hip_left,knee_left,ankle_left,frame,time
2.519704425205189,-17.223818846754938,-1.5499910929828769,2.9177651145801424,24.083238387435305,-32.47724207276905,0,0.0
1.912055949466311,-13.279708466077793,-0.5204107219340779,0.21320358874082013,18.54244606950608,-27.34800315146888,1,0.03333333333333333
1.1887372229738986,-10.056995697345247,0.40031855665347327,-1.6966349635492404,13.971182075923846,-24.204008751226407,2,0.06666666666666667
0.34623858557722853,-7.46642181800685,1.2034026360831174,-2.8864142026016526,10.293327401314741,-22.604269685084947,3,0.1
-0.6189496228744216,-5.418728105512159,1.8800474096581947,-3.4307977887280328,7.432763040304906,-22.10779676608783,4,0.13333333333333333
-1.7103370625317764,-3.82465583731075,2.4214587706820487,-3.4044493822399944,5.313369987520517,-22.273600807278466,5,0.16666666666666666
-3.021592473446435,-2.5579117296096765,2.8150903399987075,-2.8342188021596035,3.890051131538434,-22.144440604100854,6,0.2
-4.511861554127446,-1.6071959920907732,3.048526364954873,-1.8109682522042625,3.0892418248860265,-21.851263096321272,7,0.23333333333333334
-6.105225444110119,-0.8171373774880655,3.1108067499595475,-0.48733918993723224,2.782814279209921,-21.195387006328787,8,0.26666666666666666
-7.587446623514776,-0.15710212751997726,3.0392067266101885,0.9623604709073832,2.8094030157597167,-20.21860249314944,9,0.3
-8.770702100335551,0.48037233361509296,2.799539880837957,2.3486811264333896,2.961727146500273,-19.24991265943223,10,0.3333333333333333
-9.492817526040833,1.2017793127002017,2.3416602402259734,3.5115881906849307,3.0701697786986077,-18.410697976000137,11,0.36666666666666664
-9.619582584419822,1.9749547600919908,1.7426631101149526,4.319886569901268,3.016405846959263,-17.88387784383177,12,0.4
-9.102459830316874,2.7322557303740327,1.0393700550002014,4.706100529500631,2.7475832457964047,-17.81818628175148,13,0.43333333333333335
-7.970705712778318,3.5735449687653675,0.21805753932825347,4.70883406926182,2.2382097289189016,-18.157002491335277,14,0.4666666666666667
-6.392334724095559,4.4306740250986545,-0.6484564085167462,4.396658519222765,1.5898687487749326,-17.622563094442437,15,0.5
-4.501238085812373,5.329363913085956,-1.557082575838544,3.8382141737840563,0.9522238173657132,-16.640605775099893,16,0.5333333333333333
-2.646326459330365,5.997073465639814,-2.4560702710050295,3.136665700480691,0.546658804595897,-15.34606699384143,17,0.5666666666666667
-1.0282569974919744,6.336803680966739,-3.2208707127526197,2.4828980221523818,0.5550527876547597,-13.894262727510583,18,0.6
0.27744355208645294,6.226872791394383,-3.7321252185662774,2.0460901455162124,1.0612994280200507,-12.272770980040816,19,0.6333333333333333
1.1174759482462098,5.75599118231369,-4.0229781513014,1.8674457952119694,2.006014514354518,-10.9926076199406,20,0.6666666666666666
1.3759405708900108,4.976097661724085,-4.06579526368059,1.858383693860172,3.2242329044813625,-9.569301550504255,21,0.7
1.2519062753663046,3.956519812809488,-3.907360105072887,1.8076642864224493,4.555812220524061,-8.450132782854523,22,0.7333333333333333
1.1242310199099224,2.8599920165095893,-3.689665949128802,1.40513643790245,5.8855401656796,-7.768628574990557,23,0.7666666666666667
1.7333598471675093,1.9324877060527716,-3.6017117582774563,0.2365448455957484,7.172664555465348,-7.594560981681003,24,0.8
3.655171201349789,1.2192184741992365,-3.823072098402414,-2.0332763271482963,8.500296019562754,-7.688716680303621,25,0.8333333333333334
7.210736971549609,0.59865243001931,-4.448617018644712,-5.542196869852099,9.796414016280334,-8.798259074607142,26,0.8666666666666667
12.4641968944454,-0.2150639884969165,-5.395020616704194,-10.175764231949454,10.927397702642615,-10.43058503800581,27,0.9
19.35597604062655,-1.3247295183577699,-6.391224872104685,-15.447860678489832,11.571473432507865,-12.078165713329344,28,0.9333333333333333
27.33867541730167,-2.778874328146648,-7.162965760887123,-20.71332265328544,11.356776999827233,-12.79856934283855,29,0.9666666666666667
35.386015341886534,-4.635331029209686,-7.412149555333767,-25.272592939444458,9.821057961751105,-12.843894065092064,30,1.0
42.077274949618605,-7.037761328259172,-6.776001694394949,-28.447177293883858,6.537808738777002,-11.744960115084513,31,1.0333333333333334
46.22999378670569,-9.801327172496658,-5.234376647209033,-29.734917574353243,1.5442539834238074,-9.84643886069395,32,1.0666666666666667
46.99191165685136,-12.606972073149317,-2.9041402242426155,-29.014289998028215,-4.691435303558167,-7.427813394115552,33,1.1
44.64600335664237,-15.211664443863697,0.03861782756671779,-26.641280304620725,-11.269070561273056,-4.980603361300028,34,1.1333333333333333
39.02902279086413,-17.288426770101722,3.060258507839325,-22.974567845963552,-17.245727767395984,-2.9607662448910856,35,1.1666666666666667
31.278095794120212,-18.670542874907543,5.889616900380982,-18.645451646823883,-22.055246620315767,-1.8084864013459285,36,1.2
23.655686180195342,-19.30571843420162,8.445062447828544,-14.43849870273951,-25.419642283502437,-1.3734144449937598,37,1.2333333333333334
18.518765922249504,-19.150527397445742,10.638446405231013,-10.966007832663067,-27.38970671076771,-1.425749876078397,38,1.2666666666666666
17.119760913293355,-18.17203335616911,12.237335405429485,-8.603584368382453,-28.189410851485952,-1.6084506643165029,39,1.3
19.473859086908067,-16.405106780989463,13.079726762821512,-7.41606946480974,-28.40554110591566,-2.0320722343135094,40,1.3333333333333333
24.2176172027424,-13.834160601366017,12.966600071393504,-7.165782777892419,-28.483590037070492,-2.087853383961241,41,1.3666666666666667
28.791743760774093,-10.09540063076819,11.48595467343176,-7.275607677198421,-28.482691450671094,-1.421935351679563,42,1.4
30.094312011543714,-4.994762517099203,8.421516702630246,-7.102399248189794,-28.281967611047236,0.15147570073520672,43,1.4333333333333333
