,mean_accel
pelvis,0.0015252846
hip_r,0.0015285785
knee_r,0.0032835205
ankle_r,0.0032819598
foot_r,0.0015271622
hip_l,0.0026572759
knee_l,0.001464489
ankle_l,0.0020483672
foot_l,0.0023463075
spine,0.0022053865
