time,hip_right_angle,knee_right_angle,ankle_right_angle,hip_left_angle,knee_left_angle,ankle_left_angle,hip_right_velocity,knee_right_velocity,ankle_right_velocity,hip_left_velocity,knee_left_velocity,ankle_left_velocity
0.0,140.0798149909172,118.14338556036245,50.78199824086433,14.333605852994044,171.12232384314902,34.430021872887224,2.519704425205189,-17.223818846754938,-1.5499910929828769,2.9177651145801424,24.083238387435305,-32.47724207276905
0.03333333333333333,140.16552062134642,117.57437160465267,50.72926594660832,14.426269924724016,171.92073806015765,33.363258455183114,1.912055949466311,-13.279708466077793,-0.5204107219340779,0.21320358874082013,18.54244606950608,-27.34800315146888
0.06666666666666667,140.22874511149658,117.12714382429502,50.712600049994776,14.437341472207807,172.54276288083665,32.43232441170788,1.1887372229738986,-10.056995697345247,0.40031855665347327,-1.6966349635492404,13.971182075923846,-24.204008751226407
0.1,140.26648534316843,116.78595833233743,50.727243023318856,14.38605349436229,173.01350605571193,31.60678283095638,0.34623858557722853,-7.46642181800685,1.2034026360831174,-2.8864142026016526,10.293327401314741,-22.604269685084947
0.13333333333333333,140.27573819816257,116.53507124182784,50.76843733887573,14.29163899010434,173.3580753353093,30.856196801423476,-0.6189496228744216,-5.418728105512159,1.8800474096581947,-3.4307977887280328,7.432763040304906,-22.10779676608783
0.16666666666666666,140.25350055828002,116.35873866581449,50.83142546896071,14.173330958350874,173.601578470155,30.150129411604116,-1.7103370625317764,-3.82465583731075,2.4214587706820487,-3.4044493822399944,5.313369987520517,-22.273600807278466
0.2,140.1996720676382,116.23995479059143,50.9069292473072,14.055111782812057,173.77388807888124,29.41649792188818,-3.021592473446435,-2.5579117296096765,2.8150903399987075,-2.8342188021596035,3.890051131538434,-22.144440604100854
0.23333333333333334,140.10718733780908,116.15514428910153,51.001675150055576,13.955729180004807,173.9000694790647,28.658296540622754,-4.511861554127446,-1.6071959920907732,3.048526364954873,-1.8109682522042625,3.0892418248860265,-21.851263096321272
0.26666666666666666,139.9663622662742,116.09473579246713,51.10648792329105,13.891150085520394,174.00169923866872,27.878406111177114,-6.105225444110119,-0.8171373774880655,3.1108067499595475,-0.48733918993723224,2.782814279209921,-21.195387006328787
0.3,139.7705943856766,116.06457409269638,51.210253095293524,13.874749019151563,174.0933805167819,27.105326263498952,-7.587446623514776,-0.15710212751997726,3.0392067266101885,0.9623604709073832,2.8094030157597167,-20.21860249314944
0.3333333333333333,139.5153139910224,116.05297944040043,51.313915608368426,13.910963614225983,174.18836516266987,26.455747328716086,-8.770702100335551,0.48037233361509296,2.799539880837957,2.3486811264333896,2.961727146500273,-19.24991265943223
0.36666666666666664,139.21489176716878,116.07301343015337,51.405816004826626,13.994766355394523,174.2898220604677,25.857340659295005,-9.492817526040833,1.2017793127002017,2.3416602402259734,3.5115881906849307,3.0701697786986077,-18.410697976000137
0.4,138.88486176604195,116.11163506141108,51.48253058053412,14.116087353312926,174.39644219102888,25.2762131590944,-9.619582584419822,1.9749547600919908,1.7426631101149526,4.319886569901268,3.016405846959263,-17.88387784383177
0.43333333333333335,138.55157787260794,116.1796326715077,51.54144564541919,14.264294442041253,174.50491027120717,24.702071160981223,-9.102459830316874,2.7322557303740327,1.0393700550002014,4.706100529500631,2.7475832457964047,-17.81818628175148
0.4666666666666667,138.24811601972286,116.26331631676055,51.581801852424256,14.426964468611466,174.6055824262006,24.09813679070469,-7.970705712778318,3.5735449687653675,0.21805753932825347,4.70883406926182,2.2382097289189016,-18.157002491335277
0.5,137.98319061208198,116.37867516293147,51.589103298587546,14.589345036131004,174.6857857515211,23.458014859464132,-6.392334724095559,4.4306740250986545,-0.6484564085167462,4.396658519222765,1.5898687487749326,-17.622563094442437
0.5333333333333333,137.76611634012187,116.52783921604147,51.564382521978494,14.737644542347342,174.74072112681478,22.863999364537303,-4.501238085812373,5.329363913085956,-1.557082575838544,3.8382141737840563,0.9522238173657132,-16.640605775099893
0.5666666666666667,137.61133698150036,116.70065389424249,51.51284232506399,14.86398003540399,174.77264500331262,22.28942562983593,-2.646326459330365,5.997073465639814,-2.4560702710050295,3.136665700480691,0.546658804595897,-15.34606699384143
0.6,137.52263237657564,116.89335721244933,51.434298784305035,14.966502952131124,174.78698997230845,21.757930159846726,-1.0282569974919744,6.336803680966739,-3.2208707127526197,2.4828980221523818,0.5550527876547597,-13.894262727510583
0.6333333333333333,137.49708247684973,117.11382617372489,51.32721109101281,15.048689924475793,174.7930261927612,21.301178360874626,0.27744355208645294,6.226872791394383,-3.7321252185662774,2.0460901455162124,1.0612994280200507,-12.272770980040816
0.6666666666666666,137.52023119804227,117.3388464689814,51.1995676836491,15.110349270569461,174.8141436810265,20.960014867893808,1.1174759482462098,5.75599118231369,-4.0229781513014,1.8674457952119694,2.006014514354518,-10.9926076199406
0.7,137.57691653236128,117.54824428958527,51.056107323208764,15.156020506834416,174.87093177208587,20.58887243382031,1.3759405708900108,4.976097661724085,-4.06579526368059,1.858383693860172,3.2242329044813625,-9.569301550504255
0.7333333333333333,137.63030639506204,117.70793134071366,50.91045400090443,15.19906165605385,174.98210474827954,20.239570097489853,1.2519062753663046,3.956519812809488,-3.907360105072887,1.8076642864224493,4.555812220524061,-8.450132782854523
0.7666666666666667,137.68597991872264,117.82678428952268,50.77806371408757,15.253047565202378,175.14669237826027,19.922384422142247,1.1242310199099224,2.8599920165095893,-3.689665949128802,1.40513643790245,5.8855401656796,-7.768628574990557
