,mean_accel
pelvis,0.0029938254
hip_r,0.0028327748
knee_r,0.008016189
ankle_r,0.011947217
foot_r,0.0028900502
hip_l,0.0052538994
knee_l,0.0025892733
ankle_l,0.002852533
foot_l,0.003087435
spine,0.0024566294
