,mean_accel
pelvis,0.017720241
hip_r,0.017294506
knee_r,0.01752181
ankle_r,0.01570421
foot_r,0.018206203
hip_l,0.021264013
knee_l,0.017082084
ankle_l,0.01643407
foot_l,0.017360909
spine,0.017501783
