,mean_accel
pelvis,0.0017756273
hip_r,0.0015042986
knee_r,0.009110642
ankle_r,0.013880475
foot_r,0.0019827483
hip_l,0.009475596
knee_l,0.0012005633
ankle_l,0.0012865586
foot_l,0.0014600584
spine,0.0013241929
