hip_right,knee_right,ankle_right,hip_left,knee_left,ankle_left,frame,time
1.1217520642591283,5.37688922075208,-1.1386865256461813,-1.6913002618944737,4.515866698353302,1.882587891579376,0,0.0
2.380641967290461,1.7228606464391425,0.5084317069438227,-1.4760030182804915,4.188781884535378,0.8197424798760682,1,0.03333333333333333
2.9546105945424435,-1.316306826974622,1.8112320683656684,-1.2422517387253844,3.8268379645354242,-0.3526182969183649,2,0.06666666666666667
2.8874766757267403,-3.7123717937100675,2.761975662465357,-0.997799060271321,3.420905382891535,-1.601562674728431,3,0.1
2.2230589405550143,-5.437092847988044,3.3529235930888923,-0.7503976199604692,2.961854584141804,-2.8941588894786383,4,0.13333333333333333
1.005176118738923,-6.462228584029418,3.576336964082281,-0.5078000548349989,2.440556012824336,-4.197475177093504,5,0.16666666666666666
-0.8239498300406491,-6.671778715440046,3.371402151861605,-0.27591019886788776,1.813720219845699,-5.544182883438822,6,0.2
-3.212541358551011,-6.084399001569063,2.7560103493227213,-0.05732303116739564,1.077162400162382,-6.818751598282404,7,0.23333333333333334
-5.98598783425476,-4.714434901657438,1.7604388339088666,0.12928034559041288,0.26295834311168553,-7.881556841470433,8,0.26666666666666666
-8.868296723328296,-2.668696088597681,0.45837827919342655,0.2579652761162458,-0.5891758196226627,-8.681920743804895,9,0.3
-11.526222158116113,-0.14823628406217512,-1.0195331112404824,0.30534200944889245,-1.380354766420309,-9.289403533574724,10,0.3333333333333333
-13.608267235966249,2.5340681722589395,-2.4835813189881315,0.2734611712452091,-2.008622207254871,-9.697084729241281,11,0.36666666666666664
-14.805988472384525,5.074587835998044,-3.7689118608627052,0.18725576759394452,-2.346741613852913,-9.767426040537185,12,0.4
-14.874194525121018,7.222308593015709,-4.74457078246888,0.07634207471989408,-2.293053513422746,-9.33239362155392,13,0.43333333333333335
-13.580771239829536,8.808463189565721,-5.318108389721094,-0.03150335684951912,-1.75026064181634,-8.356104134164774,14,0.4666666666666667
-10.851463677782341,9.696729703157647,-5.433965720261756,-0.12339208175308752,-0.6166956365524355,-6.657486211887023,15,0.5
-6.71957352304159,9.86511954892491,-5.10970647864344,-0.21131725274901828,1.1241281940229266,-4.079700483464494,16,0.5333333333333333
-1.2802565045149068,9.417176976119173,-4.428817659729673,-0.33360753138746524,3.4266028487482965,-0.4052439680666616,17,0.5666666666666667
5.327500580190644,8.568863946519082,-3.5218747758452986,-0.5632688612596166,6.200840775419835,4.106413686584482,18,0.6
12.78572461831539,7.5053026076625535,-2.5244025394988596,-0.974098948458298,9.231058236666483,8.950449638087228,19,0.6333333333333333
20.531866552505427,6.386400256014925,-1.536812985079581,-1.587833700404383,12.231655552083899,13.198746956012384,20,0.6666666666666666
27.776568034075158,5.321713584262991,-0.6347150931795993,-2.3400175067959403,14.763065607819392,16.059677997311773,21,0.7
33.57556573293035,4.3554998224929795,0.14449170914898687,-3.116192789161839,16.374383728931807,16.671217450583182,22,0.7333333333333333
36.93837911040713,3.4576729028863133,0.8093429499018602,-3.7863084287331374,16.556609360488256,14.16117409209249,23,0.7666666666666667
37.00723129315509,2.5425765719847098,1.406617624838521,-4.2171420435731966,14.884582167082108,7.812724090068381,24,0.8
33.14677756116439,1.5120169168416315,1.9888756498139204,-4.304612611312424,11.090848242051115,-2.4974481107349074,25,0.8333333333333334
25.20679231863488,0.3659268178875852,2.547946467108826,-4.0357625846484595,5.068508430936378,-16.256938094056665,26,0.8666666666666667
13.632417719531476,-0.7892677279395087,3.0354160248707984,-3.475475194065731,-3.0348844676036255,-32.1798714237877,27,0.9
-0.5194343703569901,-1.7806382674931203,3.3784217106317826,-2.763923272734139,-12.763283226949376,-48.89796410718158,28,0.9333333333333333
-15.82268408050703,-2.4453999464643013,3.4911623451454323,-2.0843813347716176,-23.386298037275683,-64.4477664904544,29,0.9666666666666667
-30.630237958595604,-2.646408900617318,3.317183602562997,-1.6092926074639025,-33.991631422637376,-77.01098963025404,30,1.0
-43.349021310815935,-2.3154052341880975,2.8280862721203817,-1.4561957709198161,-43.62159995517247,-84.78120914424264,31,1.0333333333333334
-52.67236073376598,-1.4988437493214384,2.0623194671371854,-1.7082059341224785,-51.311867918959024,-86.87261225458421,32,1.0666666666666667
-57.85461437098461,-0.36426582680291586,1.1055115678579794,-2.3763121092957133,-56.32413277352529,-83.29272603608617,33,1.1
-58.76472019275996,0.8474643134017159,0.09148839621959863,-3.3558782482717904,-58.18561476413787,-74.89846831306897,34,1.1333333333333333
-55.81712155893461,1.8948472554498026,-0.8301001897656194,-4.455519442138801,-56.80280894948065,-63.00428470438322,35,1.1666666666666667
-49.82659377851564,2.5786582703893384,-1.529482472237668,-5.468596379261487,-52.432238037670764,-49.25721363475138,36,1.2
-41.8298288176484,2.761508533050574,-1.8978850744790219,-6.176083433693609,-45.636726054927685,-35.3662899139898,37,1.2333333333333334
-32.84962828675044,2.382826305713185,-1.8640528865177222,-6.3970270582342925,-37.11409539483258,-23.087820852485166,38,1.2666666666666666
-23.77536525512123,1.4620419476032769,-1.416691640444478,-6.041802035968862,-27.577430280743318,-13.399829465602533,39,1.3
-15.237773567749686,0.021666798950812444,-0.5817001322626462,-5.114253270767369,-17.717226382788407,-6.756604870080855,40,1.3333333333333333
-7.598149555828325,-1.8426644503424001,0.5565776498805034,-3.690779050455541,-8.067894742423162,-2.9693906243911443,41,1.3666666666666667
-0.9494063730125285,-4.025656345866262,1.8799693969933373,-1.946182807819038,1.0870924873828884,-1.741092230503556,42,1.4
4.76857225300345,-6.366897169620055,3.2251230141900247,-0.08513582899848066,9.60757352294309,-2.3814188728864942,43,1.4333333333333333
9.713306432909308,-8.729227638645707,4.45452370243246,1.7145764608341338,17.45006322685829,-4.066629232726064,44,1.4666666666666666
14.094438492695144,-10.930690433016611,5.4472148279099795,3.30658923960326,24.54807066654328,-6.094211096642918,45,1.5
18.07915988849809,-12.781305220614284,6.109620642327477,4.5481449669240375,30.815364689590552,-7.946274632227989,46,1.5333333333333334
21.742307517550714,-14.061923534057586,6.372037008906329,5.350643492935067,36.04670940083733,-9.44944661378741,47,1.5666666666666667
25.131830513338524,-14.551471822941632,6.20389964502151,5.681851947426356,40.01875832033944,-10.49926542910476,48,1.6
28.140717275914618,-14.114726463296897,5.623147387332558,5.555638915793308,42.417169827394005,-10.909427215816574,49,1.6333333333333333
30.478822881401,-12.739077138110297,4.683234034003219,5.052416607428358,42.9150939358886,-10.721041348432566,50,1.6666666666666667
31.784369823921047,-10.445731107978068,3.458310531956226,4.288893391890285,41.30096275614045,-10.010377829595036,51,1.7
31.650447924741634,-7.383070590103725,2.0439492221496454,3.381980607345895,37.49611363266487,-8.866075414421136,52,1.7333333333333334
29.682033040800544,-3.741811421229702,0.5346126028780301,2.4477724883096705,31.53264765055699,-7.215208948112387,53,1.7666666666666666
25.52835532536079,0.1225419676967602,-0.9322059050937469,1.5900396325624244,23.616474567051444,-5.269135552218193,54,1.8
19.040598407542653,3.8651898017358524,-2.242328258206391,0.8684159071382916,14.066051321667079,-3.4187287320632094,55,1.8333333333333333
10.367214937191699,7.130041104248275,-3.3047246546676217,0.2629124345446304,3.320968786867736,-1.788864883173605,56,1.8666666666666667
-0.009490666705008222,9.694074581333386,-4.078923707206823,-0.26751136590127567,-8.085498936977169,-0.5628549494749433,57,1.9
-11.240953556771965,11.355414387999073,-4.540857538329039,-0.7647247450632437,-19.442592698391035,0.16483822313818317,58,1.9333333333333333
-22.336769815369436,11.99099406008056,-4.683738405170898,-1.2605445512103046,-30.065462773207024,0.15648893422577928,59,1.9666666666666666
-32.23571050121819,11.634166328952094,-4.552987643239795,-1.7665915948024569,-39.23338539289834,-0.71604091687741,60,2.0
-39.93210071553355,10.450030503798537,-4.204521679766686,-2.275777767306475,-46.246585781588756,-2.39077475884492,61,2.033333333333333
-44.658209664090364,8.622704924609446,-3.696604329845951,-2.746105864106028,-50.56839244827071,-4.483076077517124,62,2.066666666666667
-46.0597214347542,6.408366496295581,-3.096498446505191,-3.1176793430518797,-51.93149399069129,-6.468682011868363,63,2.1
-44.21326065393073,4.067486441782354,-2.4635526983032623,-3.3375057923927507,-50.244698080571595,-8.146739527363486,64,2.1333333333333333
-39.51319448759091,1.9035715670282376,-1.8674614898677948,-3.390400932379574,-45.698816622569126,-9.095887572113993,65,2.1666666666666665
-32.5958075218608,0.15962815516743567,-1.3610735103892613,-3.293703977664535,-38.77554534251014,-8.800049009697222,66,2.2
