,mean_accel
pelvis,0.002333036
hip_r,0.0021309766
knee_r,0.008925746
ankle_r,0.012169378
foot_r,0.002417981
hip_l,0.0045399973
knee_l,0.0018585214
ankle_l,0.0021262697
foot_l,0.0023162838
spine,0.005974598
