,min,max,range
hip_right,55.895600138844465,132.62224274748726,76.7266426086428
knee_right,75.29939931589428,143.41092367105543,68.11152435516115
ankle_right,24.55279199560202,62.879674431327274,38.32688243572525
hip_left,12.963263071500375,27.941679863385193,14.978416791884818
knee_left,134.06499422513562,153.27061007128495,19.20561584614933
ankle_left,135.138797217594,153.03603816532635,17.897240947732342
