,mean_accel
pelvis,0.0036477793
hip_r,0.0031521486
knee_r,0.0027366201
ankle_r,0.003299593
foot_r,0.0033634536
hip_l,0.0044292626
knee_l,0.0028543265
ankle_l,0.0024709518
foot_l,0.001927068
spine,0.0033922924
