hip_right,knee_right,ankle_right,hip_left,knee_left,ankle_left,frame,time
-0.01208527582934249,-111.6882641870785,50.306271984848806,-1.3307124827216381,-6.346419481457216,-37.69620667145661,0,0.0
0.9192941805478435,-84.19773264288817,41.1778068234681,1.7091043470333023,-1.7804415475819955,-30.813554943529954,1,0.03333333333333333
1.8119700979035764,-61.6056955880259,33.64944084634276,4.403587248937103,1.3287907423103542,-22.957448590450994,2,0.06666666666666667
2.6969119480261985,-43.437952131196994,27.459712373693556,6.675174164516288,3.1902168005703384,-14.419557424439777,3,0.1
3.6050892027040518,-29.22030138110678,22.347159725741243,8.446303035297378,4.0127760395484575,-5.4915512577163454,4,0.13333333333333333
4.5674713337254875,-18.478542446460697,18.05032122270669,9.639411802806919,4.005407871595209,3.5349000974992175,5,0.16666666666666666
5.684912770797607,-10.82544773282046,14.149609272437024,10.035564175837306,3.2624826905899798,12.539617741883548,6,0.2
7.010450805742998,-5.790793096949953,10.52244263693993,9.628068704384757,1.8462422591809051,21.135261941447588,7,0.23333333333333334
8.702820049070414,-2.4933197286628372,6.906777014601829,8.529143578977498,0.26951901550934426,28.94284125371057,8,0.26666666666666666
10.155304585356882,-0.5032096023464282,3.4304640316321224,6.718456586932559,-0.4263563820090289,35.144287183495344,9,0.3
11.299615325497541,0.851124215305236,-0.012222400847881705,4.413586534637611,0.18623132796003697,38.72795100876453,10,0.3333333333333333
11.408158757683568,1.9536253709806684,-3.348962558495895,2.0033929918009394,2.0810620503810884,39.25860624953693,11,0.36666666666666664
10.308618909454195,3.261296783431901,-6.434902258505515,-0.18155076679533094,5.651448709484019,35.49279656513538,12,0.4
8.234820619220837,5.268215731808546,-9.363432023038158,-1.7772538138809457,10.909819001585745,27.59915009756234,13,0.43333333333333335
5.237562859933077,7.846401245130779,-12.099499275028105,-2.4168962936952596,17.641372184449406,16.539120802617564,14,0.4666666666666667
1.3879588216663792,10.21933955233083,-14.260771035981003,-2.159962165127755,24.47624459127459,2.979406132675539,15,0.5
-2.6008406128007207,11.571582480355344,-15.50624959588981,-1.2451815943668243,30.194841625813215,-11.566148752617842,16,0.5333333333333333
-6.281069289295923,11.860541924891335,-15.745775831325478,0.06262825017553458,33.89277358434983,-25.28637290480879,17,0.5666666666666667
-9.498597840480665,10.753833117153887,-14.802234156614912,1.387743832598782,35.23903160574672,-35.85162419080641,18,0.6
-11.897360952348892,7.31415963700317,-12.092200181656388,2.319434051212725,34.04172592490178,-41.36079912230612,19,0.6333333333333333
-13.312947962249796,2.601943214336246,-8.271017977316482,2.371174267926473,29.264990951013743,-41.25841355804564,20,0.6666666666666666
-14.751157515466451,-1.916147489770003,-4.028386993062502,1.2654062748958224,20.72325843578363,-35.07799595681402,21,0.7
-16.214008501989323,-4.430097428573186,-0.17084081503247894,-0.7813973922489172,9.40127331561484,-24.094103567038598,22,0.7333333333333333
-18.255961970315212,-3.5650888071423803,2.7331112343919113,-3.4761766246578105,-3.6113431174001276,-9.79356800475904,23,0.7666666666666667
-20.93646386636383,1.1308538770901588,3.9514822609113702,-6.199553982775146,-17.22565670045446,5.418041599294716,24,0.8
-24.952930345537922,8.918241713859942,3.422667045244457,-8.716515631194389,-29.925648318679254,19.311805496391198,25,0.8333333333333334
-29.53991201859895,18.156145671539978,1.54726827640335,-10.583177048518758,-39.671583968949896,30.092668871752494,26,0.8666666666666667
-34.07125998804904,27.888315472449076,-1.4049843160681246,-11.430197968266128,-45.234844090798966,36.10017692822992,27,0.9
-37.689951930976726,35.597951019947374,-4.5714862523829956,-11.190929217900383,-45.584049478868366,37.25962949502211,28,0.9333333333333333
-38.18232961378558,38.4296853470005,-6.587427159398205,-9.809891366219503,-40.89237531321601,34.25343215775508,29,0.9666666666666667
-36.1090222676971,37.02952627444162,-7.637950692885768,-8.052545670575276,-32.86272215505502,27.709349867110518,30,1.0
-31.900126972565825,32.36193474960483,-7.903616285550317,-6.184605166857992,-23.21973285883076,19.418356388956678,31,1.0333333333333334
-25.33929867392908,25.44709873667415,-7.563489613320163,-4.241866544963889,-12.935327645597699,11.041499346546953,32,1.0666666666666667
-17.041226718968595,16.876378098950784,-6.578457987621217,-2.406975239073728,-3.0711910383298844,3.6799759353126023,33,1.1
-8.23538769936781,7.939994476600656,-5.695044590752371,-0.8797631089700374,5.457157899416705,-2.1487615617878624,34,1.1333333333333333
-0.6088793071179265,-1.1326001897458304,-4.794205942874827,0.3360341603258934,13.169423573943671,-5.833311052173353,35,1.1666666666666667
6.267902765332009,-10.441377343689561,-3.430569041983462,1.5710598565077667,20.567459831988497,-7.384494531086254,36,1.2
11.705862871037816,-18.92447444180733,-1.8707641293014656,2.777886144521871,27.293867880121304,-7.6771305933701415,37,1.2333333333333334
15.274161304403915,-27.100715354277742,0.3159539768382166,3.867342551864093,34.059272318525146,-7.101545793855974,38,1.2666666666666666
17.08161245074943,-34.68245012357131,3.2317321306375164,4.59016553995781,40.53020373761424,-6.064055884599852,39,1.3
16.18673389223453,-38.535805107327285,5.590910792092374,4.381829912097805,44.671176694814505,-5.135132735839645,40,1.3333333333333333
13.263968338793092,-36.93435799528151,6.490005671502942,3.1589314293499964,44.691198065665745,-4.697799681373461,41,1.3666666666666667
9.501125938799499,-30.328105263837198,5.9287712796968295,0.9384916115793087,40.4644649981374,-4.3087940426551095,42,1.4
6.0508499395481685,-19.82395701974495,4.06017277505696,-2.018399209749373,32.07551477031114,-3.784011272971629,43,1.4333333333333333
