,mean_accel
pelvis,0.0033618682
hip_r,0.003185631
knee_r,0.0066683763
ankle_r,0.0072780303
foot_r,0.0027612997
hip_l,0.0059739314
knee_l,0.0022085684
ankle_l,0.002160911
foot_l,0.0021656966
spine,0.0026081621
