,min,max,range
hip_right,45.91242486558051,111.58394985599107,65.67152499041055
knee_right,107.67179280172172,172.91245595225135,65.24066315052963
ankle_right,6.531393586894589,45.73422130949305,39.202827722598464
hip_left,4.381650729057128,17.1054122987049,12.72376156964777
knee_left,95.23370994443411,159.89459623323444,64.66088628880033
ankle_left,67.7139834068318,153.12260351647907,85.40862010964727
