,mean_accel
pelvis,0.0037886458
hip_r,0.0038296266
knee_r,0.005146152
ankle_r,0.004426
foot_r,0.0036934621
hip_l,0.0048450367
knee_l,0.0034189236
ankle_l,0.0036517752
foot_l,0.0039892877
spine,0.0045198654
